aru_oth,0.0053,0.0185,0.0628,0.1922,0.4578,0.7498,0.914,0.9742,0.9926,0.9979,0.9994,0.9998,1,1
ary_celt,0,0.0001,0.0081,0.4731,0.99,0.9999,1,1,1,1,1,1,1,1
msf_celt,0.0444,0.0672,0.1003,0.1473,0.211,0.2929,0.3908,0.4984,0.6062,0.7045,0.7869,0.8512,0.8985,0.9168
lyy_celt,0.0011,0.0072,0.0446,0.2302,0.657,0.9247,0.9874,0.998,0.9997,1,1,1,1,1
boc_nea,0.0021,0.0104,0.0509,0.215,0.5832,0.8772,0.9733,0.9947,0.999,0.9998,1,1,1,1
gur_comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
her_irls,0,0,0,0.04,0.41,0.55,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
cod_7ek,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.18,0.18,0.18,0.78,0.78,0.78
rjn_678abd,0,0,0,0.0001,0.0016,0.022,0.2448,0.8239,0.9854,0.999,0.9999,1,1,1
meg_78,0.0491,0.0713,0.1025,0.1453,0.202,0.2736,0.3592,0.4548,0.5539,0.6488,0.7333,0.8036,0.859,0.8814
dab_nsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mon_78,0,0.0009,0.0209,0.3285,0.918,0.9961,0.9998,1,1,1,1,1,1,1
had_7bk,0,0,0,0.364,0.364,0.98,1,1,1,1,1,1,1,1
whg_7ek,0,0,0,0,0.007,0.086,0.433,0.769,0.638,0.638,0.638,0.638,0.638,0.638
hke_nrtn,0.0001,0.0005,0.9489,0.9934,0.9992,0.9999,1,1,1,0,0.0044,0.0341,0.2218,0.697
whb_comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nep_16,0.1336,0.2435,0.4019,0.5839,0.7455,0.8595,0.9274,0.9638,0.9823,0.9915,0.9959,0.998,0.9991,0.9993
nep_17,0.1336,0.2435,0.4019,0.5839,0.7455,0.8595,0.9274,0.9638,0.9823,0.9915,0.9959,0.998,0.9991,0.9993
nep_19,0.1336,0.2435,0.4019,0.5839,0.7455,0.8595,0.9274,0.9638,0.9823,0.9915,0.9959,0.998,0.9991,0.9993
nep_2021,0.1336,0.2435,0.4019,0.5839,0.7455,0.8595,0.9274,0.9638,0.9823,0.9915,0.9959,0.998,0.9991,0.9993
nep_22,0.1336,0.2435,0.4019,0.5839,0.7455,0.8595,0.9274,0.9638,0.9823,0.9915,0.9959,0.998,0.9991,0.9993
ple_celt,0.0241,0.0465,0.0877,0.1594,0.2722,0.4245,0.5927,0.7416,0.8498,0.9178,0.9566,0.9775,0.9885,0.9918
pol_2767,0.0025,0.0117,0.0531,0.2104,0.5588,0.8576,0.9662,0.9927,0.9985,0.9997,0.9999,1,1,1
pok_celt,0.0255,0.0481,0.0888,0.1582,0.2661,0.4115,0.5742,0.7223,0.8338,0.9063,0.9491,0.973,0.9858,0.9897
syc_celt,0.0023,0.0111,0.0521,0.2125,0.57,0.8669,0.9697,0.9937,0.9987,0.9997,0.9999,1,1,1
sol_celt,0,0,0,0,0,0.038,0.228,0.23,0.23,0.23,0.23,0.23,0.23,0.23
nop_34oct,0.0001,0.0013,0.0238,0.3107,0.893,0.9936,0.9997,1,1,1,1,1,1,1
pod_celt,0,0.001,0.0213,0.3261,0.915,0.9958,0.9998,1,1,1,1,1,1,1
