"Common Name", "Species Name", "Subclass"
Anglerfish,Lophius piscatorius,Teleostei
Argentine,Argentina sphyraena,Teleostei
Blue whiting,Micromesistius poutassou,Teleostei
Boarfish,Capros aper,Teleostei
Cod,Gadus morhua,Teleostei
Cuckoo ray,Leucoraja naevus,Elasmobranchii
Dab,Limanda limanda,Teleostei
Dragonet,Callionymus lyra,Teleostei
Greater Argentine,Argentina silus,Teleostei
Haddock,Melanogrammus aeglefinus,Teleostei
Hake,Merluccius merluccius,Teleostei
Herring,Clupea harengus,Teleostei
Lesser spotted dogfish,Scyliorhinus canicula,Elasmobranchii
Megrim,Lepidorhombus whiffiagonis,Teleostei
Norway lobster,Nephrops norvegicus,Malacostraca
Norway pout,Trisopterus esmarkii,Teleostei
Plaice,Pleuronectes platessa,Teleostei
Pollack,Pollachius pollachius,Teleostei
Poor cod,Trisopterus minutus,Teleostei
Red gurnard,Chelidonichthys cuculus,Teleostei
Saithe,Pollachius virens,Teleostei
Scaldfish,Arnoglossus laterna,Teleostei
Sole,Solea solea,Teleostei
Whiting,Merlangius merlangus,Teleostei
